STUDENT,SCHOOL,CITY,GROUP,SUBJECT,SCORE,STARTDATE,ENDDATE,DURATION,ACTIVITYID
2ADDDAE9,AA4FA83F,Bogota,3365BF02,Matemáticas,3.6,41:53.4,00:32.0,1064,224354
2ADDDAE9,AA4FA83F,Bogota,3365BF02,Español,4,15:19.0,41:32.9,5102,223891
88EE7922,AA4FA83F,Bogota,3365BF02,Matemáticas,6,35:15.9,44:36.6,3418,217042
8CBB6346,AA4FA83F,Bogota,3365BF02,Matemáticas,7.6,18:05.2,52:10.9,5540,217458
CEEC238E,AA4FA83F,Bogota,3365BF02,Matemáticas,8.6,44:27.2,54:07.2,6887,228572
88EE7922,AA4FA83F,Bogota,3365BF02,Español,6.8,59:32.6,54:46.5,2995,220585
4C927C1C,AA4FA83F,Bogota,3365BF02,Matemáticas,7.6,05:18.8,40:26.3,6458,225363
FD6F1879,AA4FA83F,Bogota,3365BF02,Matemáticas,4.6,32:39.7,59:01.0,8601,225935
4C927C1C,AA4FA83F,Bogota,3365BF02,Español,9,26:04.6,40:54.1,7983,216830
EBF62BCC,AA4FA83F,Bogota,3365BF02,Matemáticas,3.8,41:55.4,31:17.3,1471,219526
8CBB6346,AA4FA83F,Bogota,3365BF02,Español,5.6,52:44.6,58:27.6,3883,220749
E4D38D63,AA4FA83F,Bogota,3365BF02,Español,7.8,26:31.5,46:35.5,8329,217146
EBF62BCC,AA4FA83F,Bogota,3365BF02,Español,7,36:46.4,40:12.4,3664,216789
E4D38D63,AA4FA83F,Bogota,3365BF02,Matemáticas,6.4,32:40.0,30:13.3,5216,225083
4AA14F91,AA4FA83F,Bogota,3365BF02,Español,7.2,44:11.4,27:38.1,2593,221810
CF409918,AA4FA83F,Bogota,3365BF02,Matemáticas,4.8,56:04.7,42:47.2,5754,220056
4AA14F91,AA4FA83F,Bogota,3365BF02,Matemáticas,5.8,00:01.0,42:25.1,6111,220042
D1F8DF8B,AA4FA83F,Bogota,3365BF02,Matemáticas,4.4,49:46.8,56:45.7,3708,226638
87AB1A21,AA4FA83F,Bogota,3365BF02,Español,7.4,20:34.9,18:49.4,3455,223322
A6606E1E,AA4FA83F,Bogota,3365BF02,Matemáticas,4.2,37:56.3,56:01.5,2786,225808
CF409918,AA4FA83F,Bogota,3365BF02,Español,3.2,43:23.8,13:41.9,1782,221318
87AB1A21,AA4FA83F,Bogota,3365BF02,Matemáticas,9.2,05:24.7,08:07.5,3721,221120
19A30092,AA4FA83F,Bogota,3365BF02,Matemáticas,3,10:58.8,39:26.6,5272,222184
D1F8DF8B,AA4FA83F,Bogota,3365BF02,Español,6.4,03:29.7,35:45.7,5318,216573
B29801E7,AA4FA83F,Bogota,3365BF02,Matemáticas,3.8,21:27.5,19:00.4,4788,224800
D4C959DF,AA4FA83F,Bogota,3365BF02,Matemáticas,NULL,56:58.0,NULL,NULL,NULL
D4C959DF,AA4FA83F,Bogota,3365BF02,Español,NULL,28:10.5,NULL,NULL,NULL
FD6F1879,AA4FA83F,Bogota,3365BF02,Español,5,38:20.4,27:55.0,10122,221821
A6606E1E,AA4FA83F,Bogota,3365BF02,Español,6.2,41:25.7,27:18.1,2726,223532
B29801E7,AA4FA83F,Bogota,3365BF02,Español,4.4,42:16.4,18:25.1,1913,224786
74B540B1,AA4FA83F,Bogota,3365BF02,Matemáticas,3.6,03:05.8,43:56.2,6011,216997
68F17A71,AA4FA83F,Bogota,3365BF02,Matemáticas,6.2,04:34.8,05:34.7,3210,222939
3F1B03BA,AA4FA83F,Bogota,3365BF02,Español,5.8,33:05.4,50:41.5,3486,220407
1EB5C1D5,AA4FA83F,Bogota,3365BF02,Matemáticas,1.8,40:35.0,54:22.6,3543,228484
59661172,AA4FA83F,Bogota,3365BF02,Matemáticas,3.8,06:02.1,23:13.1,5015,224916
2AB5D8A1,AA4FA83F,Bogota,3365BF02,Matemáticas,6.2,57:07.5,26:39.8,7436,228729
BD042A89,AA4FA83F,Bogota,3365BF02,Español,4.6,04:55.1,44:48.3,2259,211668
4A4CD768,AA4FA83F,Bogota,3365BF02,Matemáticas,7,56:20.3,38:04.0,6066,216679
BD042A89,AA4FA83F,Bogota,3365BF02,Matemáticas,2.4,46:20.5,32:52.8,2773,213075
68F17A71,AA4FA83F,Bogota,3365BF02,Español,5.8,07:16.8,06:49.9,6833,222970
